,Pittsburgh Penguins,Dallas Stars,New York Rangers,Edmonton Oilers,Carolina Hurricanes,Boston Bruins,Toronto Maple Leafs,Montréal Canadiens,Ottawa Senators,Philadelphia Flyers,New Jersey Devils,Atlanta Thrashers,New York Islanders,Tampa Bay Lightning,Washington Capitals,Florida Panthers,Buffalo Sabres,Detroit Red Wings,Phoenix Coyotes,St. Louis Blues,Los Angeles Kings,Nashville Predators,Anaheim Ducks,Vancouver Canucks,Calgary Flames,San Jose Sharks,Chicago Blackhawks,Colorado Avalanche
50,49,56,47,41,40,38,59,38,52,53,66,26,27,29,51,61,41,63,57,62,49,42,43,36,47,49,38,51
51,51,58,47,41,40,38,61,39,52,55,68,26,27,29,51,63,41,63,59,64,49,42,45,36,48,49,38,51
52,53,60,49,43,42,38,63,39,52,55,70,26,27,30,53,65,43,63,59,66,51,44,45,38,48,49,38,53
53,53,62,49,45,42,40,63,41,54,57,70,26,29,30,55,65,45,63,59,68,53,44,45,40,49,50,40,53
54,53,62,49,47,44,40,63,43,54,57,72,26,31,30,55,67,47,65,61,68,55,45,47,40,49,51,40,53
55,55,64,51,47,46,40,63,45,56,57,74,26,33,30,57,67,48,67,61,70,57,45,47,40,49,51,40,55
56,55,66,51,47,48,40,63,47,58,59,76,26,33,30,59,69,48,69,63,72,59,45,47,42,50,53,40,55
57,57,66,51,49,48,40,63,49,58,61,76,26,33,32,59,69,48,71,65,74,59,45,49,44,51,53,42,55
58,57,68,51,49,48,40,63,51,60,63,76,28,35,34,59,69,48,71,65,76,59,45,51,46,53,55,42,55
59,57,68,51,50,50,40,65,53,60,65,76,28,35,36,61,70,50,71,65,78,61,47,51,46,55,55,42,57
60,58,70,51,52,50,42,67,53,62,67,77,28,35,36,61,72,52,73,65,80,63,49,51,46,55,57,44,57
61,58,71,53,54,50,42,69,53,62,67,77,28,35,36,63,73,52,73,65,80,63,49,51,48,55,57,46,57
62,58,71,55,56,52,42,71,55,64,67,79,28,35,36,65,73,52,75,67,82,63,49,53,48,57,57,46,57
63,58,73,55,56,52,42,71,57,64,69,81,28,35,36,67,75,54,77,67,84,63,49,55,50,59,59,48,57
64,60,75,55,58,54,42,73,57,66,70,81,28,37,37,67,75,54,77,67,84,65,50,55,52,61,59,50,57
65,60,75,57,58,56,42,75,59,68,72,81,28,39,37,69,75,54,79,67,86,65,50,55,53,61,61,50,59
66,60,75,57,58,58,43,77,61,70,74,81,28,39,37,71,75,54,81,69,86,67,52,57,53,61,61,50,61
67,62,76,59,58,58,45,79,63,70,74,83,28,41,39,71,77,56,81,71,86,69,52,58,53,61,63,52,63
68,62,78,59,58,60,47,81,63,72,76,83,28,41,39,73,77,56,83,71,86,71,54,58,53,61,63,54,65
69,64,80,59,60,60,48,81,63,72,76,85,30,41,41,75,77,58,85,71,88,71,55,58,54,61,65,56,67
70,64,82,59,60,60,50,83,63,72,76,85,30,43,41,77,79,59,86,72,90,71,55,58,56,61,67,58,69
71,66,82,59,62,60,50,83,65,74,78,85,30,43,41,79,79,59,88,72,92,72,57,60,58,61,67,58,69
72,68,84,61,62,62,52,83,65,76,80,87,30,43,41,79,81,61,88,72,94,72,59,62,60,63,67,60,69
73,70,86,61,64,62,52,83,65,76,81,87,30,45,41,81,83,63,88,72,96,74,59,64,60,63,69,60,69
74,70,87,61,64,64,52,85,65,78,83,89,30,45,41,83,85,65,90,73,96,74,59,64,62,63,71,60,71
75,72,89,61,66,64,52,87,67,78,83,89,30,45,43,85,85,67,92,75,96,76,59,64,64,65,71,60,73
76,74,91,61,66,66,52,87,69,78,85,89,30,45,43,86,87,67,94,77,98,76,61,66,64,65,71,62,75
77,74,92,61,68,68,52,89,69,78,85,91,32,45,43,86,87,69,96,78,98,78,61,66,64,67,71,62,77
78,76,92,61,68,70,52,89,70,80,87,93,32,45,45,88,89,71,96,80,100,78,63,68,66,67,73,62,79
79,78,92,61,68,70,52,89,72,80,89,93,32,47,45,88,91,73,98,82,102,78,63,68,66,67,75,64,81
80,80,92,61,70,72,52,91,74,82,91,93,32,47,45,90,92,74,98,82,103,80,63,70,66,67,77,66,83
81,80,92,61,72,74,54,93,74,84,93,95,32,49,45,90,92,74,98,82,103,82,63,71,68,67,77,68,85
